id,,,,,,,,,,,,,,,,,,,
2003650530106281984,L-H-01_S_05_01,,,,,,,,,,,,,,,,,,
2002979746727727104,L-H-01_S_02_02,,,,,,,,,,,,,,,,,,
2002980300203888640,L-H-01_S_02_04_LJ,,,,,,,,,,,,,,,,,,
2003651008961581056,L-H-01_S_07_03,,,,,,,,,,,,,,,,,,
2003410212077309952,H-C-10_S_01_03_LJ,,,,,,,,,,,,,,,,,,
2003411170169589760,H-K-05_S_05_02_LJ,,,,,,,,,,,,,,,,,,
1996397156218572800,H-C-04_S_06_01,,,,,,,,,,,,,,,,,,
2003402907990495232,H-D-06_S_04_04_LJ,,,,,,,,,,,,,,,,,,
2001961299428380672,E-D-01_S_06_03,,,,,,,,,,,,,,,,,,
1999657371110084608,H-K-05_S_05_03_LJ,,,,,,,,,,,,,,,,,,
2004033260300144640,H-D-06_S_05_01_LJ,,,,,,,,,,,,,,,,,,
2001968890619498496,L-H-01_S_01_03_LJ,,,,,,,,,,,,,,,,,,
2003753613423415296,C-F-01_S_02_01,,,,,,,,,,,,,,,,,,
1994612680983449600,H-K-07_S_08_03_LJ,,,,,,,,,,,,,,,,,,
2003400908435755008,I-R-03_224_01_LJ,,,,,,,,,,,,,,,,,,
2003651724551786496,H-C-03_03_03_LJ,,,,,,,,,,,,,,,,,,
2003652200966000640,H-C-03_12_04_LJ,,,,,,,,,,,,,,,,,,
2003652800390762496,H-C-03_12_03_LJ,,,,,,,,,,,,,,,,,,
2003719797451395072,I-R-03_57_01_LJ,,,,,,,,,,,,,,,,,,
2004032002331906048,I-R-03_59_01_LJ,,,,,,,,,,,,,,,,,,
1992871081219854336,L-H-01_S_03_04,,,,,,,,,,,,,,,,,,
1992871275604873216,C-R-01_S_02_02_LJ,,,,,,,,,,,,,,,,,,
1992871372010950656,E-D-01_S_01_05_LJ,,,,,,,,,,,,,,,,,,
1992871283330781184,C-R-01_S_02_04_LJ,,,,,,,,,,,,,,,,,,
1992871262480896000,C-R-01_S_01_01_LJ,,,,,,,,,,,,,,,,,,
1992871342936035328,C-H-02_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1992874633027784704,L-T-03_S_05_03_LJ,,,,,,,,,,,,,,,,,,
1992871308974755840,C-R-08_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992871345989488640,C-O-02_S_01_02,,,,,,,,,,,,,,,,,,
1992871312334393344,C-F-04_S_01_02,,,,,,,,,,,,,,,,,,
1992874584696819712,L-T-01_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1992871337508605952,C-H-02_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992871085770674176,L-H-01_S_03_05_LJ,,,,,,,,,,,,,,,,,,
1992874587578306560,L-T-01_S_01_05_LJ,,,,,,,,,,,,,,,,,,
1992871072495702016,L-H-01_S_02_03_LJ,,,,,,,,,,,,,,,,,,
1992871068859240448,L-H-01_S_02_02,,,,,,,,,,,,,,,,,,
1992874654548758528,L-T-03_S_06_03_LJ,,,,,,,,,,,,,,,,,,
1992871317589856256,C-F-04_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992871098793988096,L-H-01_S_04_03_LJ,,,,,,,,,,,,,,,,,,
1992871368986857472,E-D-01_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1992871354424233984,C-O-02_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1992874629391323136,L-T-03_S_05_02,,,,,,,,,,,,,,,,,,
1992874679915909120,C-C-F_01_S_01_02,,,,,,,,,,,,,,,,,,
1992871095031697408,L-H-01_S_04_02_LJ,,,,,,,,,,,,,,,,,,
1992874581534314496,L-T-01_S_01_03,,,,,,,,,,,,,,,,,,
1992871149779947520,L-H-01_S_05_03_LJ,,,,,,,,,,,,,,,,,,
1992871089117728768,L-H-01_S_03_06_LJ,,,,,,,,,,,,,,,,,,
1992874683502039040,C-C-F_01_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992878443976593408,L-S-02_S_06_03_LJ,,,,,,,,,,,,,,,,,,
1992871062521647104,L-H-01_S_01_02_LJ,,,,,,,,,,,,,,,,,,
1992871280021475328,C-R-01_S_02_03_LJ,,,,,,,,,,,,,,,,,,
1992871154947330048,L-H-01_S_06_03,,,,,,,,,,,,,,,,,,
1992874614639955968,L-T-03_S_03_03_LJ,,,,,,,,,,,,,,,,,,
1992871333297524736,C-H-02_S_01_02,,,,,,,,,,,,,,,,,,
1992874591172825088,L-T-03_S_01_02_LJ,,,,,,,,,,,,,,,,,,
1992871140808331264,L-H-01_S_05_01_LJ,,,,,,,,,,,,,,,,,,
1992878403237318656,L-S-02_S_05_01,,,,,,,,,,,,,,,,,,
1992874672483602432,C-R-04_S_01_03_LJ,,,,,,,,,,,,,,,,,,
1992878370236534784,L-S-03_S_02_03_LJ,,,,,,,,,,,,,,,,,,
1992878362716147712,L-S-03_S_01_04_LJ,,,,,,,,,,,,,,,,,,
1992871145472397312,L-H-01_S_05_02_LJ,,,,,,,,,,,,,,,,,,
1992878359574614016,L-S-03_S_01_03,,,,,,,,,,,,,,,,,,
1992874647695265792,L-T-03_S_06_01,,,,,,,,,,,,,,,,,,
1992871159158411264,L-H-01_S_06_04_LJ,,,,,,,,,,,,,,,,,,
1992871390298116096,E-D-01_S_09_06,,,,,,,,,,,,,,,,,,
1992871303425691648,C-R-08_S_01_02_LJ,,,,,,,,,,,,,,,,,,
1992871365908238336,E-D-01_S_01_02,,,,,,,,,,,,,,,,,,
1993206494534963200,H-C-05_35_11_LJ,,,,,,,,,,,,,,,,,,
1993206048265211904,H-C-06_02_05_LJ,,,,,,,,,,,,,,,,,,
1993206436087336960,H-C-05_10_12_LJ,,,,,,,,,,,,,,,,,,
1993206015562223616,H-C-06_21_06_LJ,,,,,,,,,,,,,,,,,,
1993206439459557376,H-C-05_11_01_LJ,,,,,,,,,,,,,,,,,,
1993206302716858368,H-C-03_02_08_LJ,,,,,,,,,,,,,,,,,,
1993206334601957376,H-C-03_13_07_LJ,,,,,,,,,,,,,,,,,,
1993206471424348160,H-C-05_18_09_LJ,,,,,,,,,,,,,,,,,,
1993206328444719104,H-C-03_12_14_LJ,,,,,,,,,,,,,,,,,,
1993206506996240384,H-C-05_33_01_LJ,,,,,,,,,,,,,,,,,,
1993206182927536128,H-C-06_34_06_LJ,,,,,,,,,,,,,,,,,,
1993206150924996608,H-C-06_31_05_LJ,,,,,,,,,,,,,,,,,,
1993206201650909184,H-C-06_34_15_LJ,,,,,,,,,,,,,,,,,,
1993206099226005504,H-C-06_14_14_LJ,,,,,,,,,,,,,,,,,,
1993206114346471424,H-C-07_19_01_LJ,,,,,,,,,,,,,,,,,,
1993206341853908992,H-C-05_01_14_LJ,,,,,,,,,,,,,,,,,,
1993206386993008640,H-C-03_18_02_LJ,,,,,,,,,,,,,,,,,,
1993206164350963712,H-C-06_31_06_LJ,,,,,,,,,,,,,,,,,,
1993206028933664768,H-C-06_26_15_LJ,,,,,,,,,,,,,,,,,,
1993206025838268416,H-C-06_26_05_LJ,,,,,,,,,,,,,,,,,,
1993206338523631616,H-C-05_01_07_LJ,,,,,,,,,,,,,,,,,,
1993206081563791360,H-C-06_07_08_LJ,,,,,,,,,,,,,,,,,,
1993206427514179584,H-C-05_08_02_LJ,,,,,,,,,,,,,,,,,,
1993206349869223936,H-C-05_03_02_LJ,,,,,,,,,,,,,,,,,,
1993206465346801664,H-C-05_18_06_LJ,,,,,,,,,,,,,,,,,,
1993206187016982528,H-C-06_34_07_LJ,,,,,,,,,,,,,,,,,,
1993206383251689472,H-C-03_15_13_LJ,,,,,,,,,,,,,,,,,,
1993206067240243200,H-C-06_04_14_LJ,,,,,,,,,,,,,,,,,,
1993206217757036544,H-C-06_48_07_LJ,,,,,,,,,,,,,,,,,,
1993206284136091648,H-C-03_02_04_LJ,,,,,,,,,,,,,,,,,,
1993206169358962688,H-C-06_31_11_LJ,,,,,,,,,,,,,,,,,,
1993206390801436672,H-C-03_18_12_LJ,,,,,,,,,,,,,,,,,,
1993206420937510912,H-C-05_07_14_LJ,,,,,,,,,,,,,,,,,,
1993206497898795008,H-C-05_40_13_LJ,,,,,,,,,,,,,,,,,,
1993206103982346240,H-C-06_15_14_LJ,,,,,,,,,,,,,,,,,,
